Gene,label
ENSG00000000003,;;Cytosol
ENSG00000000460,;;Mitochondria
ENSG00000000938,;;Aggresome;Plasma membrane
ENSG00000000971,;;Vesicles
ENSG00000001084,;;Cytosol;Nucleoli;Nucleus
ENSG00000001167,Nucleoplasm;;
ENSG00000001460,;;Nucleoplasm
ENSG00000001461,;;Nucleoplasm
ENSG00000001497,;Nucleoplasm;Cytosol;Microtubule organizing center
ENSG00000001629,;Cytosol;Plasma membrane;
ENSG00000001630,Endoplasmic reticulum;;
ENSG00000002016,;;Nuclear speckles;Plasma membrane
ENSG00000002330,Mitochondria;;
ENSG00000002549,;Cytosol;Midbody;Nucleoplasm
ENSG00000002586,;;Golgi apparatus
ENSG00000002587,;;Vesicles
ENSG00000002746,;Cytosol;
ENSG00000002822,;Nuclear membrane;Nucleoplasm;
ENSG00000002834,;Cytosol;Plasma membrane;Focal adhesion sites
ENSG00000002919,;;Cytosol
ENSG00000002933,;;Mitochondria
ENSG00000003096,;;Cytosol
ENSG00000003137,;;Cytosol
ENSG00000003147,;Cytosol;Vesicles;
ENSG00000003249,;;Cytosol;Nuclear speckles
ENSG00000003393,;;Cytosol;Intermediate filaments
ENSG00000003400,;;Golgi apparatus;Vesicles
ENSG00000003402,;Cytosol;Nucleus;Plasma membrane;Nuclear bodies
ENSG00000003436,;;Cytosol;Intermediate filaments
ENSG00000003756,Nucleoplasm;;
ENSG00000003989,;Cell Junctions;Plasma membrane;
ENSG00000004139,;;Vesicles
ENSG00000004142,;;Mitochondria
ENSG00000004468,;Plasma membrane;
ENSG00000004478,Cytosol;Nucleoplasm;;
ENSG00000004487,Nucleoplasm;;Cytosol
ENSG00000004534,;;Cytoplasmic bodies;Nuclear speckles
ENSG00000004660,;Cytosol;
ENSG00000004700,Nucleoplasm;;
ENSG00000004777,;;Actin filaments;Cytosol;Plasma membrane
ENSG00000004779,;Mitochondria;Nucleoplasm
ENSG00000004838,;;Cytosol;Plasma membrane
ENSG00000004864,;Mitochondria;
ENSG00000004866,;Nucleoplasm;Cytosol
ENSG00000004897,Nucleoplasm;;
ENSG00000004961,Mitochondria;;
ENSG00000004975,Nuclear bodies;Nucleoplasm;;
ENSG00000005001,;;Nucleoplasm
ENSG00000005007,;Nucleoplasm;
ENSG00000005020,;Cytosol;Nucleoplasm;
ENSG00000005022,;Mitochondria;
ENSG00000005059,;;Cytosol;Nucleoplasm
ENSG00000005073,;Nucleoplasm;
ENSG00000005075,;;Nucleoplasm
ENSG00000005100,;Nucleoli;
ENSG00000005156,;Nucleoplasm;
ENSG00000005175,;;Cytosol
ENSG00000005189,;;Endoplasmic reticulum;Nuclear membrane;Nucleoli
ENSG00000005194,;Mitochondria;
ENSG00000005206,;Plasma membrane;
ENSG00000005238,;;Nucleoli fibrillar center;Nucleus
ENSG00000005249,;;Centrosome;Cytosol;Golgi apparatus;Mitochondria
ENSG00000005302,;;Nucleoplasm
ENSG00000005339,Nuclear bodies;Nucleoplasm;;
ENSG00000005381,;Vesicles;Nucleus
ENSG00000005436,;Nucleoplasm;
ENSG00000005448,;;Cytosol;Vesicles
ENSG00000005469,;Vesicles;
ENSG00000005471,;Plasma membrane;Actin filaments;Focal adhesion sites;Nucleoplasm
ENSG00000005486,Golgi apparatus;;
ENSG00000005513,;Nucleus;
ENSG00000005700,;Nucleoplasm;
ENSG00000005801,;;Cytosol;Nucleus
ENSG00000005810,;Nucleus;Vesicles
ENSG00000005812,Nuclear bodies;;
ENSG00000005882,;Mitochondria;Nucleoplasm
ENSG00000005884,;Plasma membrane;
ENSG00000005889,;;Nucleoli;Nucleoplasm
ENSG00000006007,;;Nucleoli;Nucleus;Vesicles
ENSG00000006015,;;Vesicles
ENSG00000006025,;;Cytosol;Nucleoplasm
ENSG00000006042,;Nucleoplasm;
ENSG00000006047,;Nucleoli fibrillar center;
ENSG00000006062,;Cytosol;Vesicles
ENSG00000006071,;;Cytosol;Golgi apparatus;Nucleoli
ENSG00000006118,;;Mitochondria
ENSG00000006125,;Vesicles;
ENSG00000006194,;Cytosol;Mitotic spindle;Nucleoplasm
ENSG00000006210,;Plasma membrane;
ENSG00000006282,;;Nucleoplasm
ENSG00000006327,;;Cytosol;Plasma membrane
ENSG00000006377,;;Nuclear bodies
ENSG00000006432,;;Nucleoli;Nucleus
ENSG00000006453,Cytosol;Plasma membrane;;
ENSG00000006459,;;Nucleoli;Nucleoplasm
ENSG00000006468,;;Nucleoplasm
ENSG00000006530,;Mitochondria;Vesicles
ENSG00000006576,;;Cytosol;Nucleoplasm
ENSG00000006607,;;Cytosol
ENSG00000006611,Cytosol;;
ENSG00000006634,;;Nuclear bodies;Nucleus
ENSG00000006638,;Plasma membrane;Nuclear speckles
ENSG00000006652,;;Cytosol;Plasma membrane
ENSG00000006695,;Mitochondria;Cytosol;Nucleoli
ENSG00000006704,;Nucleoplasm;Cytosol
ENSG00000006712,;Nucleoplasm;
ENSG00000006744,Nucleoplasm;;
ENSG00000006747,Plasma membrane;;
ENSG00000006756,;;Lipid droplets;Vesicles
ENSG00000007001,;;Mitochondria;Nucleus;Vesicles
ENSG00000007038,;;Cytosol
ENSG00000007047,;;Cytosol
ENSG00000007080,Cytosol;Plasma membrane;;
ENSG00000007168,Centrosome;;
ENSG00000007202,;;Cytosol;Nuclear speckles
ENSG00000007237,;;Actin filaments;Focal adhesion sites;Plasma membrane
ENSG00000007314,;;Microtubule organizing center;Nucleoplasm
ENSG00000007341,;;Centrosome
ENSG00000007372,Nucleoplasm;;
ENSG00000007376,;;Cell Junctions;Cytosol;Golgi apparatus;Nucleus
ENSG00000007392,;;Mitochondria;Nucleus
ENSG00000007402,;;Vesicles
ENSG00000007520,;;Cytosol;Golgi apparatus
ENSG00000007541,;;Golgi apparatus;Nucleoplasm;Vesicles
ENSG00000007545,;;Cytosol;Nucleoli;Nucleus
ENSG00000007923,;;Cytosol
ENSG00000008018,;Nucleus;
ENSG00000008083,;Nucleus;Mitochondria
ENSG00000008086,Nucleoplasm;;
ENSG00000008128,;Cytosol;Nuclear speckles;
ENSG00000008130,;;Nucleoplasm;Vesicles
ENSG00000008196,;;Nucleoplasm
ENSG00000008226,;Cytosol;
ENSG00000008256,;Cytosol;
ENSG00000008277,;;Cell Junctions
ENSG00000008294,Cytosol;Microtubule organizing center;;
ENSG00000008311,Mitochondria;Vesicles;;
ENSG00000008323,;Cell Junctions;
ENSG00000008324,;;Mitochondria;Nucleoli;Nucleus
ENSG00000008382,;;Nucleoli;Nucleus
ENSG00000008394,;;Endoplasmic reticulum;Mitochondria
ENSG00000008405,;Nucleus;Microtubules;Nuclear membrane
ENSG00000008441,;Nucleoplasm;
ENSG00000008853,;;Plasma membrane
ENSG00000008869,;;Cytosol;Nucleoli;Nucleus
ENSG00000008952,;;Endoplasmic reticulum;Intermediate filaments
ENSG00000008988,;Cytosol;Endoplasmic reticulum;
ENSG00000009307,Cytosol;;
ENSG00000009335,;;Mitochondria;Nucleoplasm;Plasma membrane
ENSG00000009413,;;Nucleoplasm
ENSG00000009724,;Golgi apparatus;
