Gene,label
ENSG00000001167,Nucleoplasm;
ENSG00000001629,;Cytosol;Plasma membrane
ENSG00000001630,Endoplasmic reticulum;
ENSG00000002330,Mitochondria;
ENSG00000002549,;Cytosol
ENSG00000002746,;Cytosol
ENSG00000002822,;Nuclear membrane;Nucleoplasm
ENSG00000002834,;Cytosol;Plasma membrane
ENSG00000003147,;Cytosol;Vesicles
ENSG00000003402,;Cytosol;Nucleus;Plasma membrane
ENSG00000003756,Nucleoplasm;
ENSG00000003989,;Cell Junctions;Plasma membrane
ENSG00000004468,;Plasma membrane
ENSG00000004478,Cytosol;Nucleoplasm;
ENSG00000004487,Nucleoplasm;
ENSG00000004660,;Cytosol
ENSG00000004700,Nucleoplasm;
ENSG00000004779,;Mitochondria
ENSG00000004864,;Mitochondria
ENSG00000004866,;Nucleoplasm
ENSG00000004897,Nucleoplasm;
ENSG00000004961,Mitochondria;
ENSG00000004975,Nuclear bodies;Nucleoplasm;
ENSG00000005007,;Nucleoplasm
ENSG00000005020,;Cytosol;Nucleoplasm
ENSG00000005022,;Mitochondria
ENSG00000005073,;Nucleoplasm
ENSG00000005100,;Nucleoli
ENSG00000005156,;Nucleoplasm
ENSG00000005194,;Mitochondria
ENSG00000005339,Nuclear bodies;Nucleoplasm;
ENSG00000005381,;Vesicles
ENSG00000005436,;Nucleoplasm
ENSG00000005469,;Vesicles
ENSG00000005486,Golgi apparatus;
ENSG00000005513,;Nucleus
ENSG00000005700,;Nucleoplasm
ENSG00000005810,;Nucleus
ENSG00000005812,Nuclear bodies;
ENSG00000005882,;Mitochondria
ENSG00000005884,;Plasma membrane
ENSG00000006042,;Nucleoplasm
ENSG00000006047,;Nucleoli fibrillar center
ENSG00000006062,;Cytosol
ENSG00000006125,;Vesicles
ENSG00000006194,;Cytosol
ENSG00000006210,;Plasma membrane
ENSG00000006453,Cytosol;Plasma membrane;
ENSG00000006530,;Mitochondria
ENSG00000006611,Cytosol;
ENSG00000006638,;Plasma membrane
ENSG00000006695,;Mitochondria
ENSG00000006704,;Nucleoplasm
ENSG00000006712,;Nucleoplasm
ENSG00000006744,Nucleoplasm;
ENSG00000006747,Plasma membrane;
ENSG00000007080,Cytosol;Plasma membrane;
ENSG00000007168,Centrosome;
ENSG00000007372,Nucleoplasm;
ENSG00000008018,;Nucleus
ENSG00000008083,;Nucleus
ENSG00000008086,Nucleoplasm;
ENSG00000008128,;Cytosol;Nuclear speckles
ENSG00000008226,;Cytosol
ENSG00000008256,;Cytosol
ENSG00000008294,Cytosol;Microtubule organizing center;
ENSG00000008311,Mitochondria;Vesicles;
ENSG00000008323,;Cell Junctions
ENSG00000008405,;Nucleus
ENSG00000008441,;Nucleoplasm
ENSG00000008988,;Cytosol;Endoplasmic reticulum
ENSG00000009307,Cytosol;
ENSG00000009724,;Golgi apparatus
ENSG00000009765,;Plasma membrane
ENSG00000009844,;Cytosol;Vesicles
ENSG00000009950,;Nucleus
ENSG00000009954,;Nuclear bodies
ENSG00000010017,;Cytosol;Nucleoplasm
ENSG00000010030,Nucleoplasm;
ENSG00000010072,;Nucleoplasm
ENSG00000010219,Vesicles;
ENSG00000010244,Nucleus;
ENSG00000010256,;Mitochondria
ENSG00000010270,;Vesicles
ENSG00000010278,;Plasma membrane
ENSG00000010292,;Cytosol;Nucleus
ENSG00000010318,;Nucleoplasm
ENSG00000010610,;Plasma membrane
ENSG00000010626,;Nucleoli
ENSG00000010671,;Vesicles
ENSG00000010803,;Nucleoplasm
ENSG00000010810,Cytosol;Plasma membrane;
ENSG00000010818,;Nucleoplasm
ENSG00000011052,Cytosol;
ENSG00000011243,;Nuclear speckles
ENSG00000011260,;Nucleoli
ENSG00000011275,;Cytosol
ENSG00000011295,Mitochondria;
ENSG00000011304,;Nucleoplasm
ENSG00000011376,;Mitochondria
ENSG00000011405,;Nucleus
ENSG00000011422,;Plasma membrane
ENSG00000011426,Nucleoplasm;
ENSG00000011451,Nucleoplasm;
ENSG00000011454,Cytosol;
ENSG00000011478,;Golgi apparatus
ENSG00000011485,;Cytosol;Vesicles
ENSG00000011523,;Microtubule organizing center
ENSG00000012061,Nucleoplasm;
ENSG00000012660,Endoplasmic reticulum;
ENSG00000012779,;Nucleoplasm
ENSG00000012822,Cytosol;
ENSG00000013275,;Cytosol;Nucleus
ENSG00000013364,Cytosol;
ENSG00000013374,Nucleoli;Nucleus;
ENSG00000013441,;Nuclear membrane;Nucleoplasm
ENSG00000013561,;Cytosol
ENSG00000013573,;Centrosome;Nucleoli fibrillar center;Nucleus
ENSG00000013588,Plasma membrane;Vesicles;
ENSG00000013619,;Nucleoplasm
ENSG00000013810,Mitotic spindle;Centrosome;Cytosol;Microtubule organizing center
ENSG00000014123,;Endoplasmic reticulum
ENSG00000014138,;Nucleoplasm
ENSG00000014216,;Cytosol
ENSG00000014641,;Cytosol
ENSG00000014919,;Mitochondria
ENSG00000015153,;Nucleoplasm
ENSG00000015171,;Nucleoplasm
ENSG00000015475,;Cytosol
ENSG00000016082,Nucleoplasm;
ENSG00000017260,;Golgi apparatus
ENSG00000018189,;Cytosol
ENSG00000018408,Cytosol;Nucleoplasm;Nuclear bodies
ENSG00000018510,Peroxisomes;
ENSG00000019186,Mitochondria;
ENSG00000019505,;Vesicles
ENSG00000019582,;Golgi apparatus
ENSG00000019995,;Cytosol;Nucleoplasm
ENSG00000020129,;Cytosol
ENSG00000020426,Nucleoplasm;
ENSG00000020633,;Cytosol;Nucleus
ENSG00000020922,Nucleoplasm;
ENSG00000021355,;Cytoplasmic bodies
ENSG00000021762,Vesicles;
ENSG00000021776,Nucleoplasm;
ENSG00000022267,;Cytosol
ENSG00000022556,;Cytosol
ENSG00000023191,Cytosol;Nucleoplasm
ENSG00000023228,;Mitochondria
ENSG00000023287,;Cytosol
ENSG00000023330,Mitochondria;Nucleoplasm
ENSG00000023445,;Cytosol;Nucleoplasm
ENSG00000023572,Nucleoplasm;
ENSG00000023608,;Nucleoli;Nucleus
ENSG00000023697,;Nucleus
ENSG00000023734,Cytosol;Nucleoplasm
ENSG00000023892,Nucleoplasm;
ENSG00000023902,;Mitochondria
ENSG00000024422,;Plasma membrane
ENSG00000024526,;Nucleoli fibrillar center;Nucleus
ENSG00000025156,;Nucleoplasm
ENSG00000025293,Nucleoplasm;Nuclear membrane
ENSG00000025770,Nucleoplasm;Cytokinetic bridge
ENSG00000025772,Cytosol;
