,example_accuracy,example_f1,example_precision,example_recall,example_subset_accuracy,fold,label_accuracy_macro,label_accuracy_micro,label_f1_macro,label_f1_micro,label_precision_macro,label_precision_micro,label_recall_macro,label_recall_micro,model
bov_resnet_fold1,0.45658267,0.49388095825292405,0.53781515,0.45658267,0.37815127,1,0.8151260504357037,0.8151260504227573,0.2823478998097437,0.4923076873825444,0.9229691876815432,0.5378151260892592,0.16666666792162702,0.45390070925858855,bov
bov_resnet_fold10,0.46498603,0.5670861874378246,0.68907565,0.48179275,0.37815127,10,0.8403361344671986,0.8403361344560177,0.3531960270338038,0.5365853609984137,0.7798184965932023,0.6285714286068027,0.22829861225162892,0.4680851064207031,bov
bov_resnet_fold2,0.42436975,0.5458773995333999,0.68487394,0.45378152,0.3277311,2,0.829131652675423,0.8291316526634576,0.28043394253561954,0.5040650357978056,0.6826388906007234,0.5904761905151927,0.17646329490065069,0.439716312096474,bov
bov_resnet_fold3,0.40196082,0.5255553821226053,0.67927176,0.42857143,0.3277311,3,0.8207282913315915,0.8207282913190375,0.29897179179568995,0.47107437534560487,0.4750207310856019,0.5643564356866975,0.218129961453385,0.40425531919118757,bov
bov_resnet_fold4,0.45238099,0.4878744761632561,0.5294118,0.45238099,0.37815127,4,0.8123249299877598,0.8123249299746172,0.2695925505809933,0.4846153796908284,0.7556497191873742,0.5294117647454276,0.16406250125536723,0.4468085106775313,bov
bov_resnet_fold5,0.45658267,0.49388095825292405,0.53781515,0.45658267,0.37815127,5,0.8151260504357037,0.8151260504227573,0.2823478998097437,0.4923076873825444,0.9229691876815432,0.5378151260892592,0.16666666792162702,0.45390070925858855,bov
bov_resnet_fold6,0.45938376,0.5579831885975235,0.697479,0.46498603,0.38655463,6,0.8375350140192547,0.8375350140078777,0.3096321959344061,0.5245901590946656,0.5424865857405531,0.6213592233377321,0.21664186622626228,0.45390070925858855,bov
bov_resnet_fold7,0.36134455,0.4809879679979505,0.62184876,0.39215687,0.27731094,7,0.808123249315844,0.8081232493024072,0.2574714362975712,0.4453441246999623,0.6657268179194756,0.5188679245736918,0.15959821553788167,0.39007092202907295,bov
bov_resnet_fold8,0.45658267,0.49388095825292405,0.53781515,0.45658267,0.37815127,8,0.8151260504357037,0.8151260504227573,0.2823478998097437,0.4923076873825444,0.9229691876815432,0.5378151260892592,0.16666666792162702,0.45390070925858855,bov
bov_resnet_fold9,0.42296922,0.5457048880294038,0.697479,0.4481793,0.34453782,9,0.8333333333473388,0.8333333333356676,0.2975458864942364,0.5062240615757304,0.8506493506982628,0.610000000039,0.180307540927238,0.4326241135154167,bov
fisher_resnet_fold1,0.45658267,0.49388095825292405,0.53781515,0.45658267,0.37815127,1,0.8151260504357037,0.8151260504227573,0.2823478998097437,0.4923076873825444,0.9229691876815432,0.5378151260892592,0.16666666792162702,0.45390070925858855,fisher
fisher_resnet_fold10,0.44537815,0.48725133384862335,0.53781515,0.44537815,0.3697479,10,0.8123249299877598,0.8123249299746172,0.27477977268484716,0.48062015012228837,0.9216524216591181,0.5299145299547082,0.16145833458910744,0.439716312096474,fisher
fisher_resnet_fold2,0.44117647,0.4889683640480982,0.5420168,0.44537815,0.36134455,2,0.8109243697637879,0.8109243697505473,0.26607270951487216,0.47876447384415854,0.7557471272768034,0.5254237288537776,0.16145833458910744,0.439716312096474,fisher
fisher_resnet_fold3,0.45658267,0.49388095825292405,0.53781515,0.45658267,0.37815127,3,0.8151260504357037,0.8151260504227573,0.2823478998097437,0.4923076873825444,0.9229691876815432,0.5378151260892592,0.16666666792162702,0.45390070925858855,fisher
fisher_resnet_fold4,0.45658267,0.49388095825292405,0.53781515,0.45658267,0.37815127,4,0.8151260504357037,0.8151260504227573,0.2823478998097437,0.4923076873825444,0.9229691876815432,0.5378151260892592,0.16666666792162702,0.45390070925858855,fisher
fisher_resnet_fold5,0.45658267,0.49388095825292405,0.53781515,0.45658267,0.37815127,5,0.8151260504357037,0.8151260504227573,0.2823478998097437,0.4923076873825444,0.9229691876815432,0.5378151260892592,0.16666666792162702,0.45390070925858855,fisher
fisher_resnet_fold6,0.45658267,0.49388095825292405,0.53781515,0.45658267,0.37815127,6,0.8151260504357037,0.8151260504227573,0.2823478998097437,0.4923076873825444,0.9229691876815432,0.5378151260892592,0.16666666792162702,0.45390070925858855,fisher
fisher_resnet_fold7,0.45658267,0.49388095825292405,0.53781515,0.45658267,0.37815127,7,0.8151260504357037,0.8151260504227573,0.2823478998097437,0.4923076873825444,0.9229691876815432,0.5378151260892592,0.16666666792162702,0.45390070925858855,fisher
fisher_resnet_fold8,0.45658267,0.49388095825292405,0.53781515,0.45658267,0.37815127,8,0.8151260504357037,0.8151260504227573,0.2823478998097437,0.4923076873825444,0.9229691876815432,0.5378151260892592,0.16666666792162702,0.45390070925858855,fisher
fisher_resnet_fold9,0.45378152,0.4922375663963371,0.53781515,0.45378152,0.37815127,9,0.8137254902117318,0.8137254901986873,0.27857229843722087,0.48648648156557,0.9223163841873744,0.533898305124246,0.16406250125536723,0.4468085106775313,fisher
transformer_resnet_fold1,0.6078,0.6422,0.6807,0.6078,0.5378,1,0.8627,0.8627,0.3742,0.6231,0.7279,0.6807,0.2519,0.5745,transformer
transformer_resnet_fold10,0.6204,0.6530,0.6891,0.6204,0.5546,10,0.8669,0.8669,0.4363,0.6360,0.8620,0.6917,0.2920,0.5887,transformer
transformer_resnet_fold2,0.5952,0.6327,0.6597,0.6078,0.5210,2,0.8557,0.8557,0.4150,0.6113,0.8426,0.6532,0.2753,0.5745,transformer
transformer_resnet_fold3,0.5910,0.6258,0.6597,0.5952,0.5210,3,0.8557,0.8557,0.4410,0.6054,0.8050,0.6583,0.3037,0.5603,transformer
