,example_accuracy,example_f1,example_precision,example_recall,example_subset_accuracy,fold,label_accuracy_macro,label_accuracy_micro,label_f1_macro,label_f1_micro,label_precision_macro,label_precision_micro,label_recall_macro,label_recall_micro,model
bov_slf_fold1,0.46078435,0.4963286963450814,0.53781515,0.46078435,0.38655463,1,0.8151260504357037,0.8151260504227573,0.27497738356393603,0.4923076873825444,0.7564102580834978,0.5378151260892592,0.1680307552226764,0.45390070925858855,bov
bov_slf_fold10,0.4271709,0.5531992877161199,0.70168066,0.45658267,0.33613446,10,0.8319327731233669,0.8319327731115976,0.31010548295138085,0.5081967164730584,0.7811355313860964,0.601941747611462,0.193452382189493,0.439716312096474,bov
bov_slf_fold2,0.3277311,0.43012711428054945,0.5168067,0.36834735,0.23529412,2,0.7801120448364052,0.7801120448210068,0.2185830259087381,0.3984674280286549,0.34849673449367574,0.4333333333805556,0.15922619172059904,0.3687943262859011,bov
bov_slf_fold3,0.41316527,0.5166355502995574,0.6260504,0.43977594,0.31932774,3,0.8151260504357037,0.8151260504227573,0.22954091551626382,0.48031495573160154,0.34848485145555935,0.5398230088902812,0.17113095363229217,0.4326241135154167,bov
bov_slf_fold4,0.4677871,0.5084071975942738,0.5490196,0.4733894,0.38655463,4,0.8179271708836476,0.8179271708708974,0.28376166972476546,0.5038167889601423,0.7570621485657857,0.5454545454921111,0.1746031758562453,0.4680851064207031,bov
bov_slf_fold5,0.45658267,0.49739451399546447,0.5462185,0.45658267,0.37815127,5,0.8165266106596757,0.8165266106468274,0.2823834189009659,0.49420848928698147,0.9237288135657856,0.5423728813947142,0.16666666792162702,0.45390070925858855,bov
bov_slf_fold6,0.45658267,0.49388095825292405,0.53781515,0.45658267,0.37815127,6,0.8151260504357037,0.8151260504227573,0.2823478998097437,0.4923076873825444,0.9229691876815432,0.5378151260892592,0.16666666792162702,0.45390070925858855,bov
bov_slf_fold7,0.4215686,0.5281496575222266,0.64285713,0.4481793,0.3277311,7,0.8235294117795354,0.8235294117671774,0.2938931009867532,0.4959999951222401,0.7254016067840654,0.5688073394891003,0.18427579489454715,0.439716312096474,bov
bov_slf_fold8,0.41456586,0.4834655264479393,0.57983196,0.41456586,0.3529412,8,0.8123249299877598,0.8123249299746172,0.2557119143620093,0.4596774144923908,0.922118380069584,0.5327102804175038,0.14843750125780864,0.40425531919118757,bov
bov_slf_fold9,0.42857143,0.5176007360790994,0.6260504,0.44117647,0.34453782,9,0.8221288515555635,0.8221288515431074,0.2516410577806688,0.48995983448621794,0.5098940939921498,0.5648148148551098,0.167038691729144,0.4326241135154167,bov
fisher_slf_fold1,0.45658267,0.49388095825292405,0.53781515,0.45658267,0.37815127,1,0.8151260504357037,0.8151260504227573,0.2823478998097437,0.4923076873825444,0.9229691876815432,0.5378151260892592,0.16666666792162702,0.45390070925858855,fisher
fisher_slf_fold10,0.45658267,0.49388095825292405,0.53781515,0.45658267,0.37815127,10,0.8151260504357037,0.8151260504227573,0.2823478998097437,0.4923076873825444,0.9229691876815432,0.5378151260892592,0.16666666792162702,0.45390070925858855,fisher
fisher_slf_fold2,0.45658267,0.49388095825292405,0.53781515,0.45658267,0.37815127,2,0.8151260504357037,0.8151260504227573,0.2823478998097437,0.4923076873825444,0.9229691876815432,0.5378151260892592,0.16666666792162702,0.45390070925858855,fisher
fisher_slf_fold3,0.45658267,0.49388095825292405,0.53781515,0.45658267,0.37815127,3,0.8151260504357037,0.8151260504227573,0.2823478998097437,0.4923076873825444,0.9229691876815432,0.5378151260892592,0.16666666792162702,0.45390070925858855,fisher
fisher_slf_fold4,0.45658267,0.49388095825292405,0.53781515,0.45658267,0.37815127,4,0.8151260504357037,0.8151260504227573,0.2823478998097437,0.4923076873825444,0.9229691876815432,0.5378151260892592,0.16666666792162702,0.45390070925858855,fisher
fisher_slf_fold5,0.45658267,0.49388095825292405,0.53781515,0.45658267,0.37815127,5,0.8151260504357037,0.8151260504227573,0.2823478998097437,0.4923076873825444,0.9229691876815432,0.5378151260892592,0.16666666792162702,0.45390070925858855,fisher
fisher_slf_fold6,0.45658267,0.49388095825292405,0.53781515,0.45658267,0.37815127,6,0.8151260504357037,0.8151260504227573,0.2823478998097437,0.4923076873825444,0.9229691876815432,0.5378151260892592,0.16666666792162702,0.45390070925858855,fisher
fisher_slf_fold7,0.45658267,0.49388095825292405,0.53781515,0.45658267,0.37815127,7,0.8151260504357037,0.8151260504227573,0.2823478998097437,0.4923076873825444,0.9229691876815432,0.5378151260892592,0.16666666792162702,0.45390070925858855,fisher
fisher_slf_fold8,0.45658267,0.49388095825292405,0.53781515,0.45658267,0.37815127,8,0.8151260504357037,0.8151260504227573,0.2823478998097437,0.4923076873825444,0.9229691876815432,0.5378151260892592,0.16666666792162702,0.45390070925858855,fisher
fisher_slf_fold9,0.45658267,0.49388095825292405,0.53781515,0.45658267,0.37815127,9,0.8151260504357037,0.8151260504227573,0.2823478998097437,0.4923076873825444,0.9229691876815432,0.5378151260892592,0.16666666792162702,0.45390070925858855,fisher
rnn_slf_fold1,0.4272,0.4478,0.4706,0.4272,0.3866,1,0.7969,0.7969,0.2280,0.4594,0.3550,0.5294,0.1680,0.4058,rnn
rnn_slf_fold10,0.4272,0.4478,0.4706,0.4272,0.3866,10,0.7969,0.7969,0.2280,0.4594,0.3550,0.5294,0.1680,0.4058,rnn
rnn_slf_fold2,0.4272,0.4478,0.4706,0.4272,0.3866,2,0.7969,0.7969,0.2280,0.4594,0.3550,0.5294,0.1680,0.4058,rnn
rnn_slf_fold3,0.4272,0.4478,0.4706,0.4272,0.3866,3,0.7969,0.7969,0.2280,0.4594,0.3550,0.5294,0.1680,0.4058,rnn
rnn_slf_fold4,0.4272,0.4478,0.4706,0.4272,0.3866,4,0.7969,0.7969,0.2280,0.4594,0.3550,0.5294,0.1680,0.4058,rnn
rnn_slf_fold5,0.4272,0.4478,0.4706,0.4272,0.3866,5,0.7969,0.7969,0.2280,0.4594,0.3550,0.5294,0.1680,0.4058,rnn
rnn_slf_fold6,0.4272,0.4478,0.4706,0.4272,0.3866,6,0.7969,0.7969,0.2280,0.4594,0.3550,0.5294,0.1680,0.4058,rnn
