size,subset_acc,ex_acc,ex_p,ex_r,ex_f1,lab_acc,lab_p,lab_r,lab_f1
Size0-64,0.5345,0.60603,0.6810,0.6063,0.6415,0.8621,0.2850,0.2616,0.2728
Size0-128,0.5172,0.6193,0.7026,0.6408,0.6703,0.8707,0.4631,0.3269,0.3832
Size0-256,0.5345,0.6063,0.6724,0.6149,0.6424,0.8592,0.3013,0.2630,0.2808
Size0-512,0.5259,0.5891,0.6552,0.5891,0.6204,0.8549,0.2241,0.2447,0.2339
Size1-64,0.4709,0.5736,0.6657,0.5853,0.6229,0.8522,0.3116,0.2703,0.2894
Size1-128,0.4855,0.5887,0.6846,0.5979,0.6383,0.8576,0.6437,0.3132,0.4214
Size1-256,0.5116,0.6129,0.7064,0.6216,0.6613,0.8658,0.4505,0.3167,0.3719
Size1-512,0.4564,0.5499,0.6308,0.5644,0.5958,0.8421,0.2894,0.2520,0.2694
Size2-64,0.3403,0.5198,0.6728,0.5561,0.6089,0.8234,0.2889,0.2500,0.2680
Size2-128,0.3717,0.5468,0.6920,0.5841,0.6335,0.8336,0.3126,0.2505,0.2781
Size2-256,0.3822,0.5570,0.7234,0.5759,0.6413,0.8371,0.3658,0.2356,0.2866
Size2-512,0.3595,0.5430,0.6806,0.5925,0.6335,0.8284,0.2225,0.2406,0.2312
