Gene,label
ENSG00000001167,Nucleoplasm
ENSG00000001630,Endoplasmic reticulum
ENSG00000002330,Mitochondria
ENSG00000003756,Nucleoplasm
ENSG00000004478,Cytosol;Nucleoplasm
ENSG00000004487,Nucleoplasm
ENSG00000004700,Nucleoplasm
ENSG00000004897,Nucleoplasm
ENSG00000004961,Mitochondria
ENSG00000004975,Nuclear bodies;Nucleoplasm
ENSG00000005339,Nuclear bodies;Nucleoplasm
ENSG00000005486,Golgi apparatus
ENSG00000005812,Nuclear bodies
ENSG00000006453,Cytosol;Plasma membrane
ENSG00000006611,Cytosol
ENSG00000006744,Nucleoplasm
ENSG00000006747,Plasma membrane
ENSG00000007080,Cytosol;Plasma membrane
ENSG00000007168,Centrosome
ENSG00000007372,Nucleoplasm
ENSG00000008086,Nucleoplasm
ENSG00000008294,Cytosol;Microtubule organizing center
ENSG00000008311,Mitochondria;Vesicles
ENSG00000009307,Cytosol
ENSG00000010030,Nucleoplasm
ENSG00000010219,Vesicles
ENSG00000010244,Nucleus
ENSG00000010810,Cytosol;Plasma membrane
ENSG00000011295,Mitochondria
ENSG00000011426,Nucleoplasm
ENSG00000011451,Nucleoplasm
ENSG00000011454,Cytosol
ENSG00000012061,Nucleoplasm
ENSG00000012660,Endoplasmic reticulum
ENSG00000012822,Cytosol
ENSG00000013364,Cytosol
ENSG00000013374,Nucleoli;Nucleus
ENSG00000013588,Plasma membrane;Vesicles
ENSG00000013810,Mitotic spindle
ENSG00000016082,Nucleoplasm
ENSG00000018408,Cytosol;Nucleoplasm
ENSG00000018510,Peroxisomes
ENSG00000020426,Nucleoplasm
ENSG00000020922,Nucleoplasm
ENSG00000021762,Vesicles
ENSG00000021776,Nucleoplasm
ENSG00000023191,Cytosol
ENSG00000023330,Mitochondria
ENSG00000023572,Nucleoplasm
ENSG00000023734,Cytosol
ENSG00000023892,Nucleoplasm
ENSG00000025770,Nucleoplasm
ENSG00000025772,Cytosol
ENSG00000026508,Golgi apparatus;Plasma membrane
ENSG00000027001,Mitochondria
ENSG00000028277,Nucleoplasm;Vesicles
ENSG00000028528,Endosomes
ENSG00000028839,Nucleoplasm
ENSG00000029153,Nucleoli;Nucleus
ENSG00000029363,Nuclear speckles
ENSG00000029725,Vesicles
ENSG00000030582,Endoplasmic reticulum;Endosomes;Lysosomes
ENSG00000031691,Nucleoplasm
ENSG00000031698,Cytosol
ENSG00000031823,Nucleoplasm
ENSG00000033030,Nucleoplasm
ENSG00000033170,Cytosol;Golgi apparatus
ENSG00000033178,Cytosol;Nucleoplasm
ENSG00000035403,Focal adhesion sites
ENSG00000035928,Nucleus
ENSG00000036054,Golgi apparatus
ENSG00000037280,Nuclear speckles;Plasma membrane
ENSG00000037897,Nucleus
ENSG00000038219,Nucleoplasm
ENSG00000038358,Cytoplasmic bodies
ENSG00000039319,Cytosol;Vesicles
